Old_ID,new_IDFULL
98012454,98204330-tdr12
98012455,98200861-dazp1
98012536,98204915-unknown-12565
98012610,98204916-unknown-10442
98012652,98200799-csn4
98012674,98204917-unknown-10823
98012705,98204231-t2ea
98012733,98204099-spop
98012736,98208208-wsdu1
98012763,98200204-agrl3-9
98012795,98204313-tbcd1
98012812,98203061-prp18
98012868,98204918-unknown-9664
98012912,98204666-trim3-27
98012926,98201506-gslg1
98012981,98208782-znf99-18
98013101,98204919-unknown-11154
98013112,98200902-ddx49-4
98013124,98203686-s17a9-2
98013151,98204920-unknown-12653
98013155,98203999-sl9a2
98013223,98204043-socs5
98013345,98203166-rad54-3
98013380,98204921-unknown-12557
98013499,98204922-unknown-10073
98013504,98208171-vp26c
98013514,98200165-ada1a-6
98013517,98204923-unknown-12516
98013576,98204220-syt2-5
98013618,98203689-s18b1-69
98013670,98201332-g3st1-6
98013722,98208211-xiap-9
98013724,98202526-naa25
98013725,98200319-asmt
98013806,98200520-ccd60
98013925,98202924-plac8-2
98013926,98203689-s18b1-69
98014035,98204924-unknown-11849
98014081,98201370-gcdh
98014110,98203502-rn216
98014113,98204925-unknown-9665
98014135,98201717-if122
98014145,98202907-pin4
98014186,98200385-bivm
98014239,98201407-glna-8
98014241,98202594-nica
98014276,98201902-kif3b
98014286,98204808-ube4b
98014303,98201289-fuct1
98014318,98204926-unknown-12332
98014365,98203516-robo1-4
98014393,98204250-tba1a-2
98014411,98204229-t184b
98014450,98201873-kcrb-4
98014464,98204927-unknown-10437
98014468,98204100-sppl3
98014488,98204928-unknown-11585
98014517,98202556-ndkb
98014555,98204677-trim8-4
98014620,98204209-syk
98014678,98202745-p20l1
98014712,98201365-gbrr1-5
98014713,98204104-spt5h
98014721,98202716-otop3-2
98014731,98204228-t132a
98014903,98203274-riok1
98014935,98208755-zn808
98014976,98202281-ma2c1
98014977,98200178-adip
98014984,98203091-psn2-2
98015065,98201613-herc4-2
98015090,98200459-can1
98015111,98200209-ak17a
98015152,98203018-ppp6
98015203,98204929-unknown-11212
98015234,98201621-hip1
98015249,98202937-plpl2-2
98015273,98201624-hmces-2
98015374,98200024-a0a1w2prg0-3
98015379,98015378-sfrp-2
98015394,98201642-hnrpq-9
98015425,98203885-scnng-3
98015452,98202453-mrp7-5
98015539,98204195-suox-2
98015556,98204765-tulp4
98015580,98202652-nsun5
98015615,98200321-aspc1
98015639,98202718-otud3
98015703,98208191-wdr26-3
98015734,98202584-neul4
98015738,98200474-casp2-8
98015811,98204116-srbd1
98015851,98200879-dctn4
98015959,98200508-cc125
98016092,98201800-jmjd6
98016095,98200264-ap3m1
98016117,98200241-anln
98016259,98202085-lrc57-2
98016355,98204930-unknown-12869
98016378,98204931-unknown-11077
98016404,98202505-mvp
98016416,98204932-unknown-9666
98016424,98200633-chle-3
98016444,98203063-prp4-2
98016454,98202477-mtf1
98016508,98202878-phocn
98016530,98204933-unknown-11279
98016551,98202690-oma1
98016689,98204934-unknown-9667
98016692,98208290-zic4-3
98016795,98204368-tfap4
98016803,98202469-mspd2-11
98016817,98201946-laat1
98016820,98204242-taf1a
98016926,98059399-recq4
98016928,98201928-kpsh1-2
98016986,98204251-tba1a-7
98016993,98203580-rs2
98016999,98204935-unknown-12892
98017030,98204936-unknown-11981
98017033,98200985-dram2-2
98017080,98203690-s18b1-92
98017132,98204122-srcap
98017142,98201493-grik4-3
98017203,98204937-unknown-10681
98017258,98204938-unknown-11210
98017288,98202791-pbir1
98017344,98204035-snr40
98017366,98203153-rab5c
98017412,98204171-star7
98017461,98201503-grwd1
98017476,98200075-acdsb-2
98017625,98202412-mod5
98017667,98202295-map10
98017678,98201995-litaf-2
98017935,98200732-cp110
98017997,98204939-unknown-11248
98018067,98201090-eif2d
98018120,98204940-unknown-10153
98018174,98202342-meg11-2
98018216,98203875-scnba
98018293,98203123-pyr1
98018313,98200371-barh1
98018333,98200618-cgbp1-5
98018413,98201831-kcc1a-2
98018478,98201107-elf5
98018525,98203542-rprd2
98018527,98203155-rabek
98018536,98204941-unknown-10836
98018541,98208645-zn532-2
98018568,98200782-cq098
98018596,98208795-znhi1
98018615,98201196-f1891
98018616,98204942-unknown-9668
98018660,98204943-unknown-10315
98018668,98202874-phf12
98018773,98200788-crnl1
98018777,98200317-asic2-7
98018801,98208201-wdtc1
98018807,98202082-lrc17
98018857,98202743-p-3
98018906,98204343-telo2
98018910,98201453-gp139-11
98018923,98204944-unknown-12423
98018966,98202334-med14
98018988,98202562-ndubb
98019081,98204945-unknown-11087
98019133,98201975-lhx6
98019185,98202577-nelfd
98019284,98204313-tbcd1
98019309,98204946-unknown-10106
98019329,98204947-unknown-11151
98019433,98204948-unknown-10534
98019452,98201347-ganp
98019512,98202309-mboa2
98019514,98203691-s18b1-9
98019544,98200992-dsrad-2
98019580,98204811-ubp7
98019603,98200854-daaf5-2
98019621,98204705-trpm3-25
98019641,98204013-smc4
98019679,98200098-ache-2
98019685,98203962-sf3b1-2
98019703,98200641-chst1
98019770,98204949-unknown-10077
98019824,98202706-osbl8
98019850,98204321-tbx21
98019866,98203864-sc6a3
98019982,98200190-afad
98020028,98201376-gcyb1
